Text Passage,Image ROI
2.41.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.02096,0.3521,0.8134,0.02673"
2.41.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.01782,0.3754,0.8208,0.1092"
2.41.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.01363,0.4823,0.8187,0.1412"
2.41.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.01468,0.6223,0.8071,0.04242"
2.41.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.2075,0.6630,0.4665,0.02499"
2.41.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.04927,0.6845,0.6373,0.02266"
2.41.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.05451,0.7083,0.7683,0.02266"
2.41.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.05136,0.7298,0.6143,0.02440"
2.41.15,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.05136,0.7484,0.7662,0.02557"
2.41.16,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.04927,0.7693,0.6268,0.02499"
2.41.17,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.01363,0.7902,0.8092,0.04358"
2.54.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00108@0.1331,0.1322,0.8512,0.05149"
2.54.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02411,0.1881,0.8606,0.07604"
2.54.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02306,0.2619,0.8669,0.04288"
2.54.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02830,0.2824,0.8532,0.04345"
2.54.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02516,0.3019,0.8312,0.2384"
2.54.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02306,0.5174,0.8438,0.06232"
2.54.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.7170,0.5597,0.1331,0.02058"
2.54.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02201,0.5792,0.8365,0.06575"
2.54.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.1237,0.6392,0.6447,0.02802"
2.54.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.01992,0.6575,0.3365,0.03087"
2.54.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.02201,0.6615,0.8333,0.1132"
2.54.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.01572,0.6638,0.8805,0.1326"
2.54.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.01992,0.7902,0.8249,0.02401"
2.54.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.06709,0.8096,0.8134,0.02687"
2.54.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.07233,0.8325,0.7117,0.02230"
2.54.15,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.03354,0.8536,0.8229,0.02687"
2.54.16,"urn:cite2:fufolio:camerarius1668.2020a:02_00109@0.03459,0.8776,0.8229,0.02173"
2.100.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00200@0.2390,0.1427,0.6310,0.09033"
2.100.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01992,0.1377,0.8417,0.1142"
2.100.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01992,0.2222,0.8302,0.08954"
2.100.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01258,0.2865,0.8501,0.06939"
2.100.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01363,0.3290,0.8648,0.04589"
2.100.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01782,0.3716,0.8459,0.06771"
2.100.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.02201,0.4124,0.8480,0.06827"
2.100.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.02516,0.4561,0.8543,0.1522"
2.100.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01992,0.5820,0.8574,0.2143"
2.100.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01887,0.7745,0.8627,0.1080"
2.100.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00201@0.01887,0.8551,0.8700,0.05148"
2.101.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1352,0.1025,0.4895,0.02833"
2.101.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1321,0.1025,0.8679,0.1144"
2.101.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1342,0.1909,0.8459,0.1938"
2.101.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1499,0.3615,0.8365,0.1071"
2.101.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1478,0.4453,0.8407,0.08839"
2.101.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1478,0.5071,0.8375,0.06686"
2.101.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1478,0.5484,0.8428,0.09008"
2.101.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1499,0.6113,0.8333,0.1586"
2.101.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1457,0.7456,0.8417,0.06516"
2.101.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00202@0.1478,0.7875,0.8501,0.09122"
2.102.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.01677,0.1121,0.8229,0.1517"
2.102.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.01258,0.2322,0.8386,0.09598"
2.102.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.009434,0.3006,0.8396,0.06609"
2.102.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.001048,0.3397,0.8564,0.07241"
2.102.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.02516,0.4075,0.4979,0.02299"
2.102.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.01887,0.4034,0.8491,0.07126"
2.102.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.4895,0.4460,0.2400,0.02529"
2.102.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.09644,0.4839,0.5797,0.03506"
2.102.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.02830,0.5293,0.8229,0.09770"
2.102.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.02411,0.5989,0.8428,0.04770"
2.102.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.02411,0.6195,0.8595,0.04885"
2.102.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.02516,0.6437,0.8365,0.1282"
2.102.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.01258,0.7466,0.8480,0.06667"
2.102.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00203@0.01363,0.7868,0.8449,0.1121"
2.103.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00204@0.1614,0.1164,0.8218,0.08786"
2.103.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00204@0.1583,0.1824,0.8344,0.09401"
2.103.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00204@0.1541,0.2686,0.8428,0.1309"
2.103.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00204@0.3878,0.4432,0.4067,0.04085"
